key,board,summary,description,acceptance_criteria,status,assignee,reporter,priority,issue_type,created,closed,labels,components,sprint,sprint_state,sprint_start_date,sprint_end_date,story_points,epic_id,employee_type,requested_by,fix_versions
APS-1-1,APS1,TASK 22 for APS1,Description for Task 22 in APS1,Acceptance criteria for issue type Task in APS1 with issue key APS-1-1,Done,Nitish,Madhu,High,Task,2025-03-17,2025-04-16,['frontend'],['UI'],Sprint 8,Active,2025-04-09,2025-04-22,1,APS-1,FTE,CTB,APS1-8786
APS-2-7,APS1,TASK 23 for APS1,Description for Task 23 in APS1,Acceptance criteria for issue type Defect in APS1 with issue key APS-2-7,Done,Nitish,Shreya,Medium,Defect,2025-04-02,2025-01-31,['backend'],['UI'],Sprint 3,Completed,2025-01-28,2025-02-10,2,APS-2,FTE,RTB,APS1-8786
DIS-3-2,CDF,TASK 24 for CDF,Description for Task 24 in CDF,Acceptance criteria for issue type Defect in CDF with issue key DIS-3-2,Done,Hari,Tony,High,Defect,2025-03-31,2025-04-04,['bugfix'],['Database'],Sprint 7,Completed,2025-03-26,2025-04-08,3,DIS-3,FTE,RTB,CDF1-8785
DIS-7-3,EBSNF,TASK 25 for EBSNF,Description for Task 25 in EBSNF,Acceptance criteria for issue type Story in EBSNF with issue key DIS-7-3,Done,Pavithra,Zoro,Medium,Story,2025-04-01,2025-03-15,[],['Database'],Sprint 6,Completed,2025-03-12,2025-03-25,2,DIS-7,FTE,RTB,EBSNF1-8786
APS-2-8,APS1,TASK 26 for APS1,Description for Task 26 in APS1,Acceptance criteria for issue type Story in APS1 with issue key APS-2-8,To Do,Khaleel,Shreya,Medium,Story,2025-04-06,,['frontend'],['UI'],Sprint 9,Future,2025-04-23,2025-05-06,2,APS-2,FTC,RTB,APS1-8786
DIS-1-2,CDF,TASK 27 for CDF,Description for Task 27 in CDF,Acceptance criteria for issue type Task in CDF with issue key DIS-1-2,Done,Alice,Naruto,Low,Task,2025-04-02,2025-02-08,[],['UI'],Sprint 3,Completed,2025-01-28,2025-02-10,1,DIS-1,FTC,RTB,CDF1-8783
DIS-6-2,EBSNF,TASK 28 for EBSNF,Description for Task 28 in EBSNF,Acceptance criteria for issue type Defect in EBSNF with issue key DIS-6-2,To Do,David,Zoro,Low,Defect,2025-04-03,,['UI'],['Auth Service'],Sprint 8,Active,2025-04-09,2025-04-22,2,DIS-6,FTC,CTB,EBSNF1-8786
TES-2-1,TES1,TASK 29 for TES1,Description for Task 29 in TES1,Acceptance criteria for issue type Defect in TES1 with issue key TES-2-1,Done,Sai,Shubman,High,Defect,2025-04-10,2025-02-05,[],['Database'],Sprint 3,Completed,2025-01-28,2025-02-10,3,TES-2,FTE,RTB,TES1-8786
APS-1-2,APS1,TASK 30 for APS1,Description for Task 30 in APS1,Acceptance criteria for issue type Defect in APS1 with issue key APS-1-2,Done,Noor,Shreya,High,Defect,2025-04-11,2025-01-21,['backend'],['Database'],Sprint 2,Completed,2025-01-14,2025-01-27,1,APS-1,FTE,CTB,APS1-8785
TES-4-2,TES2,TASK 31 for TES2,Description for Task 31 in TES2,Acceptance criteria for issue type Defect in TES2 with issue key TES-4-2,To Do,Rachin,Smrithi,Low,Defect,2025-04-01,,['UI'],['Database'],Sprint 10,Future,2025-05-07,2025-05-20,2,TES-4,FTC,CTB,TES2-8783
APS-3-3,APS2,TASK 32 for APS2,Description for Task 32 in APS2,Acceptance criteria for issue type Defect in APS2 with issue key APS-3-3,Done,Dube,Ravi,Low,Defect,2025-03-17,2025-02-12,['UI'],['Payment Service'],Sprint 4,Completed,2025-02-11,2025-02-24,1,APS-3,FTE,RTB,APS2-8785
TES-1-5,TES1,TASK 33 for TES1,Description for Task 33 in TES1,Acceptance criteria for issue type Story in TES1 with issue key TES-1-5,To Do,Krithika,Ishan,High,Story,2025-03-20,,['bugfix'],['Auth Service'],Sprint 9,Future,2025-04-23,2025-05-06,1,TES-1,FTE,CTB,TES1-8785
TES-2-2,TES1,TASK 34 for TES1,Description for Task 34 in TES1,Acceptance criteria for issue type Story in TES1 with issue key TES-2-2,Done,Sai,Ishan,Medium,Story,2025-04-08,2025-01-01,['backend'],['UI'],Sprint 1,Completed,2025-01-01,2025-01-13,2,TES-2,FTE,RTB,TES1-8785
TES-1-6,TES1,TASK 35 for TES1,Description for Task 35 in TES1,Acceptance criteria for issue type Defect in TES1 with issue key TES-1-6,Done,Sai,Ishan,Critical,Defect,2025-03-18,2025-01-19,['UI'],['Auth Service'],Sprint 2,Completed,2025-01-14,2025-01-27,3,TES-1,FTE,CTB,TES1-8784
DIS-7-4,EBSNF,TASK 36 for EBSNF,Description for Task 36 in EBSNF,Acceptance criteria for issue type Task in EBSNF with issue key DIS-7-4,Done,Peter,Hinata,High,Task,2025-04-11,2025-02-21,['bugfix'],['UI'],Sprint 4,Completed,2025-02-11,2025-02-24,2,DIS-7,FTC,RTB,EBSNF1-8784
TES-4-3,TES2,TASK 37 for TES2,Description for Task 37 in TES2,Acceptance criteria for issue type Story in TES2 with issue key TES-4-3,Done,Rasheed,Pradeep,High,Story,2025-03-27,2025-02-19,['frontend'],[],Sprint 4,Completed,2025-02-11,2025-02-24,1,TES-4,FTE,CTB,TES2-8786
APS-3-4,APS2,TASK 38 for APS2,Description for Task 38 in APS2,Acceptance criteria for issue type Story in APS2 with issue key APS-3-4,Done,Dube,Ravi,High,Story,2025-03-20,2025-01-19,['backend'],[],Sprint 2,Completed,2025-01-14,2025-01-27,2,APS-3,FTE,RTB,APS2-8784
APS-4-1,APS2,TASK 39 for APS2,Description for Task 39 in APS2,Acceptance criteria for issue type Defect in APS2 with issue key APS-4-1,Done,Ashwin,Bhuvi,High,Defect,2025-04-02,2025-03-22,['frontend'],[],Sprint 6,Completed,2025-03-12,2025-03-25,3,APS-4,FTC,CTB,APS2-8785
TES-2-3,TES1,TASK 40 for TES1,Description for Task 40 in TES1,Acceptance criteria for issue type Defect in TES1 with issue key TES-2-3,To Do,David,Ishan,Medium,Defect,2025-03-17,,['bugfix'],['Payment Service'],Sprint 10,Future,2025-05-07,2025-05-20,2,TES-2,FTC,RTB,TES1-8785
TES-1-7,TES1,TASK 41 for TES1,Description for Task 41 in TES1,Acceptance criteria for issue type Story in TES1 with issue key TES-1-7,To Do,Sai,Shubman,Critical,Story,2025-04-04,,['UI'],['Auth Service'],Sprint 9,Future,2025-04-23,2025-05-06,1,TES-1,FTE,CTB,TES1-8783
DIS-7-5,EBSNF,TASK 42 for EBSNF,Description for Task 42 in EBSNF,Acceptance criteria for issue type Task in EBSNF with issue key DIS-7-5,To Do,Alok,Hinata,High,Task,2025-04-05,,['bugfix'],['Auth Service'],Sprint 9,Future,2025-04-23,2025-05-06,5,DIS-7,FTE,RTB,EBSNF1-8783
APS-4-2,APS2,TASK 43 for APS2,Description for Task 43 in APS2,Acceptance criteria for issue type Task in APS2 with issue key APS-4-2,Done,Vikram,Bhuvi,Medium,Task,2025-03-25,2025-03-07,['bugfix'],[],Sprint 5,Completed,2025-02-25,2025-03-11,2,APS-4,FTC,CTB,APS2-8785
APS-4-3,APS2,TASK 44 for APS2,Description for Task 44 in APS2,Acceptance criteria for issue type Task in APS2 with issue key APS-4-3,Done,Dube,Bhuvi,High,Task,2025-04-09,2025-03-13,['bugfix'],['Database'],Sprint 6,Completed,2025-03-12,2025-03-25,5,APS-4,FTE,CTB,APS2-8786
APS-4-4,APS2,TASK 45 for APS2,Description for Task 45 in APS2,Acceptance criteria for issue type Story in APS2 with issue key APS-4-4,In Progress,Dube,Ravi,Medium,Story,2025-04-03,,[],[],Sprint 8,Active,2025-04-09,2025-04-22,1,APS-4,FTE,CTB,APS2-8784
TES-2-4,TES1,TASK 46 for TES1,Description for Task 46 in TES1,Acceptance criteria for issue type Story in TES1 with issue key TES-2-4,To Do,Sai,Ishan,Low,Story,2025-04-08,,[],['Database'],Sprint 9,Future,2025-04-23,2025-05-06,2,TES-2,FTE,RTB,TES1-8784
APS-2-9,APS1,TASK 47 for APS1,Description for Task 47 in APS1,Acceptance criteria for issue type Task in APS1 with issue key APS-2-9,To Do,Noor,Madhu,Medium,Task,2025-03-26,,['UI'],['Database'],Sprint 9,Future,2025-04-23,2025-05-06,3,APS-2,FTE,RTB,APS1-8784
TES-1-8,TES1,TASK 48 for TES1,Description for Task 48 in TES1,Acceptance criteria for issue type Defect in TES1 with issue key TES-1-8,Done,Krithika,Ishan,Medium,Defect,2025-03-31,2025-02-22,[],['API'],Sprint 4,Completed,2025-02-11,2025-02-24,3,TES-1,FTE,CTB,TES1-8784
DIS-3-3,CDF,TASK 49 for CDF,Description for Task 49 in CDF,Acceptance criteria for issue type Defect in CDF with issue key DIS-3-3,Done,Bob,Tony,Low,Defect,2025-04-03,2025-04-16,['bugfix'],['Database'],Sprint 8,Active,2025-04-09,2025-04-22,3,DIS-3,FTC,RTB,CDF1-8784
TES-2-5,TES1,TASK 50 for TES1,Description for Task 50 in TES1,Acceptance criteria for issue type Defect in TES1 with issue key TES-2-5,To Do,Sai,Ishan,Medium,Defect,2025-04-03,,[],['API'],Sprint 10,Future,2025-05-07,2025-05-20,3,TES-2,FTE,RTB,TES1-8786
TES-3-3,TES2,TASK 51 for TES2,Description for Task 51 in TES2,Acceptance criteria for issue type Defect in TES2 with issue key TES-3-3,To Do,Rachin,Smrithi,Critical,Defect,2025-03-26,,['bugfix'],['UI'],Sprint 10,Future,2025-05-07,2025-05-20,5,TES-3,FTC,RTB,TES2-8785
DIS-7-6,EBSNF,TASK 52 for EBSNF,Description for Task 52 in EBSNF,Acceptance criteria for issue type Defect in EBSNF with issue key DIS-7-6,To Do,Peter,Hinata,High,Defect,2025-03-17,,['UI'],['API'],Sprint 8,Active,2025-04-09,2025-04-22,3,DIS-7,FTC,RTB,EBSNF1-8785
TES-1-9,TES1,TASK 53 for TES1,Description for Task 53 in TES1,Acceptance criteria for issue type Task in TES1 with issue key TES-1-9,Done,David,Shubman,Medium,Task,2025-03-25,2025-04-07,['bugfix'],[],Sprint 7,Completed,2025-03-26,2025-04-08,3,TES-1,FTC,CTB,TES1-8785
TES-1-10,TES1,TASK 54 for TES1,Description for Task 54 in TES1,Acceptance criteria for issue type Task in TES1 with issue key TES-1-10,Done,David,Ishan,Critical,Task,2025-03-21,2025-01-20,[],['UI'],Sprint 2,Completed,2025-01-14,2025-01-27,5,TES-1,FTC,CTB,TES1-8786
TES-2-6,TES1,TASK 55 for TES1,Description for Task 55 in TES1,Acceptance criteria for issue type Defect in TES1 with issue key TES-2-6,Done,Krithika,Shubman,Critical,Defect,2025-03-19,2025-01-20,['bugfix'],['Database'],Sprint 2,Completed,2025-01-14,2025-01-27,5,TES-2,FTE,RTB,TES1-8785
APS-4-5,APS2,TASK 56 for APS2,Description for Task 56 in APS2,Acceptance criteria for issue type Defect in APS2 with issue key APS-4-5,To Do,Vikram,Ravi,Critical,Defect,2025-03-31,,['UI'],['API'],Sprint 9,Future,2025-04-23,2025-05-06,2,APS-4,FTC,CTB,APS2-8785
TES-3-4,TES2,TASK 57 for TES2,Description for Task 57 in TES2,Acceptance criteria for issue type Task in TES2 with issue key TES-3-4,Done,Rachin,Pradeep,High,Task,2025-04-02,2025-03-28,['bugfix'],['UI'],Sprint 7,Completed,2025-03-26,2025-04-08,5,TES-3,FTC,RTB,TES2-8783
TES-3-5,TES2,TASK 58 for TES2,Description for Task 58 in TES2,Acceptance criteria for issue type Story in TES2 with issue key TES-3-5,In Progress,Seetha,Smrithi,Critical,Story,2025-03-24,,['backend'],['API'],Sprint 8,Active,2025-04-09,2025-04-22,2,TES-3,FTC,RTB,TES2-8784
APS-2-10,APS1,TASK 59 for APS1,Description for Task 59 in APS1,Acceptance criteria for issue type Story in APS1 with issue key APS-2-10,Done,Khaleel,Shreya,Medium,Story,2025-03-31,2025-01-14,['bugfix'],['Database'],Sprint 2,Completed,2025-01-14,2025-01-27,1,APS-2,FTC,RTB,APS1-8784
APS-3-5,APS2,TASK 60 for APS2,Description for Task 60 in APS2,Acceptance criteria for issue type Defect in APS2 with issue key APS-3-5,Done,Vikram,Bhuvi,Medium,Defect,2025-04-04,2025-01-21,['frontend'],['API'],Sprint 2,Completed,2025-01-14,2025-01-27,3,APS-3,FTC,RTB,APS2-8784
TES-1-11,TES1,TASK 61 for TES1,Description for Task 61 in TES1,Acceptance criteria for issue type Defect in TES1 with issue key TES-1-11,In Progress,Krithika,Shubman,Medium,Defect,2025-03-22,,['backend'],['Payment Service'],Sprint 8,Active,2025-04-09,2025-04-22,3,TES-1,FTE,CTB,TES1-8786
APS-1-3,APS1,TASK 62 for APS1,Description for Task 62 in APS1,Acceptance criteria for issue type Task in APS1 with issue key APS-1-3,To Do,Noor,Shreya,Critical,Task,2025-04-06,,['enhancement'],['Database'],Sprint 9,Future,2025-04-23,2025-05-06,5,APS-1,FTE,CTB,APS1-8785
TES-1-12,TES1,TASK 63 for TES1,Description for Task 63 in TES1,Acceptance criteria for issue type Defect in TES1 with issue key TES-1-12,Done,Krithika,Ishan,Low,Defect,2025-04-01,2025-03-27,[],['Auth Service'],Sprint 7,Completed,2025-03-26,2025-04-08,3,TES-1,FTE,CTB,TES1-8783
TES-1-13,TES1,TASK 64 for TES1,Description for Task 64 in TES1,Acceptance criteria for issue type Task in TES1 with issue key TES-1-13,Done,David,Ishan,High,Task,2025-03-26,2025-04-16,['frontend'],['API'],Sprint 8,Active,2025-04-09,2025-04-22,5,TES-1,FTC,CTB,TES1-8783
APS-1-4,APS1,TASK 65 for APS1,Description for Task 65 in APS1,Acceptance criteria for issue type Story in APS1 with issue key APS-1-4,Done,Noor,Madhu,Critical,Story,2025-03-17,2025-04-02,['bugfix'],['Auth Service'],Sprint 7,Completed,2025-03-26,2025-04-08,5,APS-1,FTE,CTB,APS1-8783
APS-3-6,APS2,TASK 66 for APS2,Description for Task 66 in APS2,Acceptance criteria for issue type Task in APS2 with issue key APS-3-6,Done,Vikram,Ravi,High,Task,2025-04-11,2025-02-16,['frontend'],['API'],Sprint 4,Completed,2025-02-11,2025-02-24,3,APS-3,FTC,RTB,APS2-8783
DIS-4-2,CDF,TASK 67 for CDF,Description for Task 67 in CDF,Acceptance criteria for issue type Defect in CDF with issue key DIS-4-2,Done,Rishika,Naruto,High,Defect,2025-03-30,2025-02-11,['frontend'],['API'],Sprint 4,Completed,2025-02-11,2025-02-24,1,DIS-4,FTE,CTB,CDF1-8783
TES-2-7,TES1,TASK 68 for TES1,Description for Task 68 in TES1,Acceptance criteria for issue type Defect in TES1 with issue key TES-2-7,Done,David,Shubman,Low,Defect,2025-03-30,2025-02-14,['frontend'],['Database'],Sprint 4,Completed,2025-02-11,2025-02-24,3,TES-2,FTC,RTB,TES1-8783
APS-1-5,APS1,TASK 69 for APS1,Description for Task 69 in APS1,Acceptance criteria for issue type Task in APS1 with issue key APS-1-5,Done,Khaleel,Madhu,Critical,Task,2025-03-22,2025-04-05,['bugfix'],['UI'],Sprint 7,Completed,2025-03-26,2025-04-08,3,APS-1,FTC,CTB,APS1-8783
APS-3-7,APS2,TASK 70 for APS2,Description for Task 70 in APS2,Acceptance criteria for issue type Defect in APS2 with issue key APS-3-7,Done,Vikram,Bhuvi,Medium,Defect,2025-03-31,2025-03-08,['frontend'],['API'],Sprint 5,Completed,2025-02-25,2025-03-11,2,APS-3,FTC,RTB,APS2-8786
DIS-3-4,CDF,TASK 71 for CDF,Description for Task 71 in CDF,Acceptance criteria for issue type Defect in CDF with issue key DIS-3-4,Done,Apoorva,Naruto,High,Defect,2025-03-22,2025-01-19,['backend'],['Database'],Sprint 2,Completed,2025-01-14,2025-01-27,1,DIS-3,FTE,RTB,CDF1-8785
TES-1-14,TES1,TASK 72 for TES1,Description for Task 72 in TES1,Acceptance criteria for issue type Story in TES1 with issue key TES-1-14,Done,David,Shubman,Critical,Story,2025-03-21,2025-03-26,['frontend'],['API'],Sprint 7,Completed,2025-03-26,2025-04-08,3,TES-1,FTC,CTB,TES1-8783
DIS-6-3,EBSNF,TASK 73 for EBSNF,Description for Task 73 in EBSNF,Acceptance criteria for issue type Task in EBSNF with issue key DIS-6-3,Done,Alok,Hinata,High,Task,2025-03-21,2025-01-10,['frontend'],['Payment Service'],Sprint 1,Completed,2025-01-01,2025-01-13,3,DIS-6,FTE,CTB,EBSNF1-8783
APS-2-11,APS1,TASK 74 for APS1,Description for Task 74 in APS1,Acceptance criteria for issue type Story in APS1 with issue key APS-2-11,Done,Khaleel,Shreya,Critical,Story,2025-03-19,2025-01-25,['backend'],['Database'],Sprint 2,Completed,2025-01-14,2025-01-27,5,APS-2,FTC,RTB,APS1-8785
DIS-6-4,EBSNF,TASK 75 for EBSNF,Description for Task 75 in EBSNF,Acceptance criteria for issue type Task in EBSNF with issue key DIS-6-4,Done,Pavithra,Zoro,Critical,Task,2025-03-30,2024-12-31,['UI'],['UI'],Sprint 1,Completed,2025-01-01,2025-01-13,5,DIS-6,FTE,CTB,EBSNF1-8783
DIS-3-5,CDF,TASK 76 for CDF,Description for Task 76 in CDF,Acceptance criteria for issue type Task in CDF with issue key DIS-3-5,Done,Apoorva,Naruto,Low,Task,2025-04-09,2025-03-21,['bugfix'],['Database'],Sprint 6,Completed,2025-03-12,2025-03-25,2,DIS-3,FTE,RTB,CDF1-8783
APS-4-6,APS2,TASK 77 for APS2,Description for Task 77 in APS2,Acceptance criteria for issue type Task in APS2 with issue key APS-4-6,Done,Ashwin,Bhuvi,Low,Task,2025-03-29,2025-01-10,[],[],Sprint 1,Completed,2025-01-01,2025-01-13,2,APS-4,FTC,CTB,APS2-8785
TES-3-6,TES2,TASK 78 for TES2,Description for Task 78 in TES2,Acceptance criteria for issue type Story in TES2 with issue key TES-3-6,Done,Rachin,Pradeep,Critical,Story,2025-03-24,2025-01-19,['backend'],['Database'],Sprint 2,Completed,2025-01-14,2025-01-27,5,TES-3,FTC,RTB,TES2-8784
TES-2-8,TES1,TASK 79 for TES1,Description for Task 79 in TES1,Acceptance criteria for issue type Story in TES1 with issue key TES-2-8,Done,David,Ishan,Medium,Story,2025-04-01,2025-02-06,['enhancement'],['Auth Service'],Sprint 3,Completed,2025-01-28,2025-02-10,3,TES-2,FTC,RTB,TES1-8783
TES-2-9,TES1,TASK 80 for TES1,Description for Task 80 in TES1,Acceptance criteria for issue type Story in TES1 with issue key TES-2-9,Done,Krithika,Shubman,Critical,Story,2025-03-25,2025-01-04,['UI'],['Payment Service'],Sprint 1,Completed,2025-01-01,2025-01-13,1,TES-2,FTE,RTB,TES1-8783
TES-2-10,TES1,TASK 81 for TES1,Description for Task 81 in TES1,Acceptance criteria for issue type Defect in TES1 with issue key TES-2-10,Done,Krithika,Ishan,High,Defect,2025-04-04,2025-04-01,[],[],Sprint 7,Completed,2025-03-26,2025-04-08,1,TES-2,FTE,RTB,TES1-8786
APS-4-7,APS2,TASK 82 for APS2,Description for Task 82 in APS2,Acceptance criteria for issue type Story in APS2 with issue key APS-4-7,In Progress,Dube,Bhuvi,Medium,Story,2025-04-08,,['UI'],['Auth Service'],Sprint 8,Active,2025-04-09,2025-04-22,1,APS-4,FTE,CTB,APS2-8784
DIS-4-3,CDF,TASK 83 for CDF,Description for Task 83 in CDF,Acceptance criteria for issue type Defect in CDF with issue key DIS-4-3,To Do,Rishika,Tony,High,Defect,2025-04-03,,['UI'],['Auth Service'],Sprint 9,Future,2025-04-23,2025-05-06,5,DIS-4,FTE,CTB,CDF1-8785
APS-1-6,APS1,TASK 84 for APS1,Description for Task 84 in APS1,Acceptance criteria for issue type Defect in APS1 with issue key APS-1-6,To Do,Khaleel,Shreya,Medium,Defect,2025-03-20,,['frontend'],['UI'],Sprint 10,Future,2025-05-07,2025-05-20,1,APS-1,FTC,CTB,APS1-8785
APS-2-12,APS1,TASK 85 for APS1,Description for Task 85 in APS1,Acceptance criteria for issue type Task in APS1 with issue key APS-2-12,Done,Nitish,Madhu,High,Task,2025-03-23,2025-01-14,[],['API'],Sprint 2,Completed,2025-01-14,2025-01-27,1,APS-2,FTE,RTB,APS1-8786
APS-2-13,APS1,TASK 86 for APS1,Description for Task 86 in APS1,Acceptance criteria for issue type Story in APS1 with issue key APS-2-13,To Do,Nitish,Shreya,Critical,Story,2025-03-27,,['backend'],[],Sprint 8,Active,2025-04-09,2025-04-22,1,APS-2,FTE,RTB,APS1-8785
APS-2-14,APS1,TASK 87 for APS1,Description for Task 87 in APS1,Acceptance criteria for issue type Defect in APS1 with issue key APS-2-14,Done,Noor,Madhu,High,Defect,2025-04-06,2025-03-02,['UI'],['Payment Service'],Sprint 5,Completed,2025-02-25,2025-03-11,2,APS-2,FTE,RTB,APS1-8784
DIS-3-6,CDF,TASK 88 for CDF,Description for Task 88 in CDF,Acceptance criteria for issue type Defect in CDF with issue key DIS-3-6,Done,Bob,Naruto,Medium,Defect,2025-04-08,2025-02-14,[],['UI'],Sprint 4,Completed,2025-02-11,2025-02-24,5,DIS-3,FTC,RTB,CDF1-8783
